company,metric,value,year,period_end,filed
Tesla,Revenues,3198356000,2014,2014-12-31,2017-03-01
Tesla,NetIncomeLoss,-888663000,2015,2015-12-31,2018-02-23
Tesla,Revenues,4046025000,2015,2015-12-31,2018-02-23
Tesla,NetIncomeLoss,-674914000,2016,2016-12-31,2019-02-19
Tesla,Revenues,7000132000,2016,2016-12-31,2019-02-19
Tesla,NetIncomeLoss,-1962000000,2017,2017-12-31,2020-02-13
Tesla,Revenues,11759000000,2017,2017-12-31,2020-02-13
Tesla,NetIncomeLoss,-976000000,2018,2018-12-31,2021-02-08
Tesla,Revenues,21461000000,2018,2018-12-31,2021-02-08
Tesla,NetIncomeLoss,-862000000,2019,2019-12-31,2022-02-07
Tesla,Revenues,24578000000,2019,2019-12-31,2022-02-07
Tesla,NetIncomeLoss,721000000,2020,2020-12-31,2023-01-31
Tesla,Revenues,31536000000,2020,2020-12-31,2023-01-31
Tesla,NetIncomeLoss,5519000000,2021,2021-12-31,2024-01-29
Tesla,Revenues,53823000000,2021,2021-12-31,2024-01-29
Tesla,NetIncomeLoss,12556000000,2022,2022-12-31,2025-01-30
Tesla,Revenues,81462000000,2022,2022-12-31,2025-01-30
Tesla,NetIncomeLoss,14997000000,2023,2023-12-31,2026-01-29
Tesla,Revenues,96773000000,2023,2023-12-31,2026-01-29
Tesla,NetIncomeLoss,7091000000,2024,2024-12-31,2026-01-29
Tesla,Revenues,97690000000,2024,2024-12-31,2026-01-29
Tesla,NetIncomeLoss,3794000000,2025,2025-12-31,2026-01-29
Tesla,Revenues,94827000000,2025,2025-12-31,2026-01-29
