company,ticker,year,AccountsReceivableNetCurrent,Assets,CashAndCashEquivalentsAtCarryingValue,InventoryNet,Liabilities,NetIncomeLoss,Revenues,dsri,aqi,sgi,lvgi,accruals,cash_profit_gap,rev_growth,recv_growth,rev_recv_divergence
ALLIANT ENERGY CORP,LNT,2014,427300000.0,12063500000.0,56900000.0,,,393300000.0,3350300000.0,0.8830039085840731,1.0035698168249498,1.022430419921875,,0.027885771127782153,0.14467327739638952,0.022430419921875,-0.09718994295372914,-0.11962036287560414
ALLIANT ENERGY CORP,LNT,2015,397600000.0,12495200000.0,5800000.0,,,388400000.0,3253600000.0,0.9581489342076274,1.0081815977023587,0.9711369131122586,,0.030619757987067033,0.014933058702368692,-0.028863086887741397,-0.06950620173180436,-0.04064311484406296
ALLIANT ENERGY CORP,LNT,2016,493300000.0,13373800000.0,8200000.0,,,381700000.0,3320000000.0,1.2158802816901406,0.9946117493116622,1.0204081632653061,,0.027927739311190535,0.02148283992664396,0.02040816326530612,0.24069416498993965,0.22028600172463353
ALLIANT ENERGY CORP,LNT,2017,482800000.0,14187800000.0,27900000.0,,,467500000.0,3382200000.0,0.9607158249201114,1.0015615322597549,1.0187349397590362,,0.030984366850392592,0.059679144385026736,0.018734939759036146,-0.021285221974457733,-0.040020161733493875
ALLIANT ENERGY CORP,LNT,2018,350400000.0,15426000000.0,20900000.0,,,522000000.0,3534000000.0,0.6945916787050074,1.0123712751518779,1.0448820294482881,,0.032484117723324255,0.04003831417624521,0.0448820294482881,-0.2742336371168186,-0.3191156665651067
ALLIANT ENERGY CORP,LNT,2019,402000000.0,16701000000.0,16000000.0,,,567000000.0,3648000000.0,1.1114083904109588,0.9990176664296622,1.032258064516129,,0.03299203640500569,0.02821869488536155,0.03225806451612903,0.14726027397260275,0.11500220945647371
ALLIANT ENERGY CORP,LNT,2020,412000000.0,17710000000.0,54000000.0,,,624000000.0,3416000000.0,1.0944807578034883,0.9986826526423705,0.9364035087719298,,0.032185206098249576,0.08653846153846154,-0.06359649122807018,0.024875621890547265,0.08847211311861744
ALLIANT ENERGY CORP,LNT,2021,440000000.0,18553000000.0,39000000.0,,,674000000.0,3669000000.0,0.9943187080419257,1.0005082644675114,1.074063231850117,,0.03422627068398642,0.057863501483679525,0.0740632318501171,0.06796116504854369,-0.006102066801573408
ALLIANT ENERGY CORP,LNT,2022,516000000.0,20163000000.0,20000000.0,,,686000000.0,4205000000.0,1.023242892660253,0.9992142960401114,1.1460888525483783,,0.0330307989882458,0.029154518950437316,0.1460888525483783,0.17272727272727273,0.026638420178894423
ALLIANT ENERGY CORP,LNT,2023,475000000.0,21237000000.0,62000000.0,,,703000000.0,4027000000.0,0.9612321288665846,1.0013327164414754,0.9576694411414982,,0.03018317088100956,0.08819345661450925,-0.04233055885850178,-0.07945736434108527,-0.03712680548258349
ALLIANT ENERGY CORP,LNT,2024,427000000.0,22714000000.0,81000000.0,,,690000000.0,3981000000.0,0.9093346025198641,1.0029967727239664,0.9885771045443258,,0.026811658008276833,0.11739130434782609,-0.011422895455674199,-0.10105263157894737,-0.08962973612327317
ALLIANT ENERGY CORP,LNT,2025,476000000.0,24991000000.0,556000000.0,,,810000000.0,4362000000.0,1.0173856179673935,0.9806371435750555,1.0957045968349661,,0.010163658917210196,0.6864197530864198,0.09570459683496609,0.11475409836065574,0.019049501525689655
ALLSTATE CORP,ALL,2009,,132652000000.0,,,115931000000.0,854000000.0,32013000000.0,,,,,,,,,
ALLSTATE CORP,ALL,2010,,130500000000.0,,,111830000000.0,911000000.0,31400000000.0,,1.0,0.9808515290663168,0.9805325912087158,,,-0.01914847093368319,,
ALLSTATE CORP,ALL,2011,,125193000000.0,,,106867000000.0,787000000.0,32654000000.0,,1.0,1.039936305732484,0.9961293999746588,,,0.03993630573248408,,
ALLSTATE CORP,ALL,2012,,126947000000.0,,,106367000000.0,2306000000.0,33315000000.0,,1.0,1.020242543026888,0.9815691423142253,,,0.020242543026887976,,
ALLSTATE CORP,ALL,2013,,123460000000.0,,,102040000000.0,2280000000.0,34507000000.0,,1.0,1.0357796788233529,0.9864150935499673,,,0.035779678823352846,,
